"REID","Record Type Desc","Parcel Status Desc","Property Class Desc","Sale Date","Sale Price","Sale Type Desc","Sale Status Desc","Sale Disqualification Reason Desc","Ownership Document Number"
4673,Sale,ACTIVE,RESIDENTIAL,"7/5/2022 12:00:01 AM",676000.00,PACKAGE,QUALIFIED,,2335823
4681,Sale,ACTIVE,RESIDENTIAL,"9/2/2022 12:00:01 AM",490000.00,PACKAGE,QUALIFIED,,2344813
4688,Sale,ACTIVE,RESIDENTIAL,"9/16/2022 12:00:01 AM",520000.00,PACKAGE,QUALIFIED,,2346277
4695,Sale,ACTIVE,RESIDENTIAL,"12/16/2022 12:00:01 AM",459900.00,PACKAGE,QUALIFIED,,2356595
4702,Sale,ACTIVE,RESIDENTIAL,"10/14/2022 12:00:01 AM",426100.00,PACKAGE,QUALIFIED,,2349775
4710,Sale,ACTIVE,RESIDENTIAL,"3/22/2022 12:00:01 AM",490000.00,PACKAGE,QUALIFIED,,2320122
4777,Sale,ACTIVE,RESIDENTIAL,"12/20/2022 12:00:01 AM",305000.00,PACKAGE,QUALIFIED,,2356912
4779,Sale,ACTIVE,RESIDENTIAL,"3/9/2022 12:00:01 AM",255500.00,PACKAGE,QUALIFIED,,2318180
4792,Sale,ACTIVE,RESIDENTIAL,"6/20/2022 12:00:01 AM",275000.00,PACKAGE,QUALIFIED,,2333390
4793,Sale,ACTIVE,RESIDENTIAL,"12/20/2022 12:00:01 AM",220130.00,PACKAGE,QUALIFIED,,2356963
4800,Sale,ACTIVE,RESIDENTIAL,"12/15/2022 12:00:01 AM",290000.00,PACKAGE,QUALIFIED,,2356447
4844,Sale,ACTIVE,RESIDENTIAL,"1/14/2022 12:00:01 AM",566900.00,PACKAGE,QUALIFIED,,2310154
4851,Sale,ACTIVE,RESIDENTIAL,"1/31/2022 12:00:01 AM",679900.00,PACKAGE,QUALIFIED,,2312728
4874,Sale,ACTIVE,RESIDENTIAL,"6/8/2022 12:00:01 AM",171800.00,LAND,QUALIFIED,,2332043
4875,Sale,ACTIVE,RESIDENTIAL,"6/8/2022 12:00:01 AM",171800.00,LAND,QUALIFIED,,2332043
4918,Sale,ACTIVE,RESIDENTIAL,"9/29/2022 12:00:01 AM",550000.00,PACKAGE,QUALIFIED,,2347924
4971,Sale,ACTIVE,RESIDENTIAL,"6/9/2022 12:00:01 AM",283500.00,PACKAGE,QUALIFIED,,2332314
4995,Sale,ACTIVE,RESIDENTIAL,"5/20/2022 12:00:01 AM",424925.00,PACKAGE,QUALIFIED,,2329317
5006,Sale,ACTIVE,RESIDENTIAL,"5/11/2022 12:00:01 AM",453855.00,PACKAGE,QUALIFIED,,2327840
5014,Sale,ACTIVE,RESIDENTIAL,"4/28/2022 12:00:01 AM",450464.00,PACKAGE,QUALIFIED,,2325866
5015,Sale,ACTIVE,RESIDENTIAL,"6/20/2022 12:00:01 AM",397200.00,PACKAGE,QUALIFIED,,2333360
5016,Sale,ACTIVE,RESIDENTIAL,"10/3/2022 12:00:01 AM",355000.00,PACKAGE,QUALIFIED,,2348343
5016,Sale,ACTIVE,RESIDENTIAL,"4/13/2022 12:00:01 AM",337370.00,PACKAGE,QUALIFIED,,2323542
5017,Sale,ACTIVE,RESIDENTIAL,"1/6/2022 12:00:01 AM",367520.00,PACKAGE,QUALIFIED,,2308931
5018,Sale,ACTIVE,RESIDENTIAL,"1/4/2022 12:00:01 AM",367360.00,PACKAGE,QUALIFIED,,2308563
5021,Sale,ACTIVE,RESIDENTIAL,"6/28/2022 12:00:01 AM",397815.00,PACKAGE,QUALIFIED,,2334743
5027,Sale,ACTIVE,RESIDENTIAL,"7/28/2022 12:00:01 AM",376895.00,PACKAGE,QUALIFIED,,2338940
5034,Sale,ACTIVE,RESIDENTIAL,"2/11/2022 12:00:01 AM",364095.00,PACKAGE,QUALIFIED,,2314536
5035,Sale,ACTIVE,RESIDENTIAL,"4/22/2022 12:00:01 AM",466064.00,PACKAGE,QUALIFIED,,2324882
5037,Sale,ACTIVE,RESIDENTIAL,"4/29/2022 12:00:01 AM",372465.00,PACKAGE,QUALIFIED,,2326244
5038,Sale,ACTIVE,RESIDENTIAL,"3/23/2022 12:00:01 AM",368965.00,PACKAGE,QUALIFIED,,2320320
5039,Sale,ACTIVE,RESIDENTIAL,"3/11/2022 12:00:01 AM",414015.00,PACKAGE,QUALIFIED,,2318756
5041,Sale,ACTIVE,RESIDENTIAL,"2/2/2022 12:00:01 AM",355675.00,PACKAGE,QUALIFIED,,2313175
5043,Sale,ACTIVE,RESIDENTIAL,"7/15/2022 12:00:01 AM",389800.00,PACKAGE,QUALIFIED,,2337216
5044,Sale,ACTIVE,RESIDENTIAL,"7/29/2022 12:00:01 AM",391865.00,PACKAGE,QUALIFIED,,2339150
5048,Sale,ACTIVE,RESIDENTIAL,"3/7/2022 12:00:01 AM",372789.00,PACKAGE,QUALIFIED,,2317764
5051,Sale,ACTIVE,RESIDENTIAL,"6/2/2022 12:00:01 AM",279400.00,PACKAGE,QUALIFIED,,2331145
5054,Sale,ACTIVE,RESIDENTIAL,"6/24/2022 12:00:01 AM",255440.00,PACKAGE,QUALIFIED,,2334327
5055,Sale,ACTIVE,RESIDENTIAL,"5/27/2022 12:00:01 AM",263830.00,PACKAGE,QUALIFIED,,2330428
5056,Sale,ACTIVE,RESIDENTIAL,"5/24/2022 12:00:01 AM",279310.00,PACKAGE,QUALIFIED,,2329730
5057,Sale,ACTIVE,RESIDENTIAL,"6/27/2022 12:00:01 AM",272480.00,PACKAGE,QUALIFIED,,2334501
5059,Sale,ACTIVE,RESIDENTIAL,"7/29/2022 12:00:01 AM",236250.00,PACKAGE,QUALIFIED,,2339205
5060,Sale,ACTIVE,RESIDENTIAL,"8/19/2022 12:00:01 AM",239175.00,PACKAGE,QUALIFIED,,2342848
5061,Sale,ACTIVE,RESIDENTIAL,"7/7/2022 12:00:01 AM",275330.00,PACKAGE,QUALIFIED,,2336229
5062,Sale,ACTIVE,RESIDENTIAL,"11/30/2022 12:00:01 AM",266990.00,PACKAGE,QUALIFIED,,2354807
5063,Sale,ACTIVE,RESIDENTIAL,"9/26/2022 12:00:01 AM",262140.00,PACKAGE,QUALIFIED,,2347278
5064,Sale,ACTIVE,RESIDENTIAL,"12/8/2022 12:00:01 AM",243155.00,PACKAGE,QUALIFIED,,2355582
5065,Sale,ACTIVE,RESIDENTIAL,"9/1/2022 12:00:01 AM",270800.00,PACKAGE,QUALIFIED,,2344423
5073,Sale,ACTIVE,RESIDENTIAL,"10/17/2022 12:00:01 AM",268640.00,PACKAGE,QUALIFIED,,2350065
5076,Sale,ACTIVE,RESIDENTIAL,"9/30/2022 12:00:01 AM",266780.00,PACKAGE,QUALIFIED,,2348170
5084,Sale,ACTIVE,RESIDENTIAL,"5/9/2022 12:00:01 AM",247560.00,PACKAGE,QUALIFIED,,2327375
